RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
RecA (998)	1	0.107988291450178	0.0494943940363351	0.00386229523045611	-0.0228881515356632	0.0434320844517724	-0.020287278141934	0.0360105259144667	0.035778918019211	-0.0102162634880093	-0.0145232825686387	-0.0131458920746161	-0.0203089205511201	-0.0215373999137337	0.0145131482854866	-0.0324610321990705	0.0175802391083795	0.0206700372512056	-0.0236714991916141	0.0217337783074369	-0.00669395594501959	0.00385380825463317	-0.0106139971348495	-0.0349652912183657	0.0202872781419343	0.00559428890729397	0.00545280263879837	0.00385380825463317	0.00946327038170332	0.00668159733382728	NA	0.00668159733382728	NA	0.00385380825463317	0.0110397165825578	0.00545280263879837	-0.00447115901501571	0.0102265792571061	0.00385380825463317	0.00545280263879837	0.0102265792571061	0.00946327038170332	0.0122413662659946	0.00385380825463317	0.00385380825463317	0.00682490427252965
SSBa (1008)	0.107988291450178	1	0.00392019379284091	-0.017671927086353	0.0330200456765919	0.0249508330537242	-0.0116546211498505	0.0420276641926387	0.0419205405567133	0.0757135302855071	-0.00834332506339977	-0.0169503465651402	0.0286698944413706	0.0283208347525888	0.00833750312760639	0.00390777011952781	0.0340591473845353	-0.0740460412374351	0.00809502540075204	-0.0158729559199005	0.0168753708787035	0.00221393303121771	0.0243300120628228	-0.0200868356855642	0.0116546211498539	-0.0316052617126312	0.00313252219028626	0.00221393303121771	0.00543645285315104	0.00383843929465679	NA	0.00383843929465679	NA	0.00221393303121771	-0.0260233305906413	0.00313252219028626	0.0261825709164833	0.00587495799420047	0.00221393303121771	0.00313252219028626	0.00587495799420047	0.00543645285315104	0.00703241140524774	0.00221393303121771	0.00221393303121771	0.0210403184183754
RecJ (832)	0.0494943940363351	0.00392019379284091	1	0.0248828949933369	-0.0372451347617452	-0.0379342991177057	-0.0611840648044844	0.137782755278561	0.14276575312439	0.0883670937151403	0.43394218801441	0.386013153677152	-0.86537845199003	-0.854687261338938	0.0552152315826149	0.157100089343924	0.133509186051225	0.0629205886586415	-0.35596221978151	0.161024635954188	-0.229408545914808	-0.0673956892957197	0.136076662701623	0.131576549293755	0.0611840648044839	-0.0545181452620269	0.0207451722088879	0.014661802599189	-0.0311628050318748	-0.0220026805340076	NA	0.0254201181488641	NA	-0.0673956892957197	-0.0284594093483879	0.0207451722088879	0.126056195083146	0.0389069918443368	0.014661802599189	0.0207451722088879	0.0389069918443368	0.0360029853878894	0.0465722433181794	0.014661802599189	0.014661802599189	0.00780035781171049
RecQ (953)	0.00386229523045611	-0.017671927086353	0.0248828949933369	1	0.241002071903671	0.202586972243599	0.218115809355242	0.140226740690776	0.13983354793593	0.151664646548076	-0.0129402360420279	0.00657760137146907	0.0662143870144419	0.0646531267398661	-0.00611754631011016	-0.197020922631984	0.0679910860160883	-0.0342215952386671	0.125449433731131	0.0949979370586674	0.0416658254181137	0.00788749176131375	-0.157227114277741	-0.0848982805619376	-0.24407953613278	-0.00405637393168557	-0.0830498414635956	0.00788749176131375	0.0193682358433461	0.0136750560590604	NA	0.0136750560590604	NA	0.00788749176131375	-0.0350587918143526	-0.0830498414635956	0.00365281946331627	-0.0295518454944899	0.00788749176131375	0.0111601130746153	0.0209304807886775	0.0193682358433461	0.0250540943375106	0.00788749176131375	0.00788749176131375	-0.0775183701705528
RecF (801)	-0.0228881515356632	0.0330200456765919	-0.0372451347617452	0.241002071903671	1	0.36038948302325	0.246324864322645	-0.0514617262405776	-0.0526797777382257	0.122977093220572	0.0130757906846284	0.0277345199729432	0.188574783814893	0.192851333174282	0.0193294702751067	-0.056556634850553	-0.0669829924297693	0.071936369562462	0.117434075819309	0.0555377946908645	0.0161749573063024	0.0161719137401038	-0.0424432029317604	-0.0507697168877468	-0.140861175582645	0.0606667458068393	-0.0317863404520922	0.0161719137401038	-0.0235394763188477	-0.0612786653087212	NA	-0.0166201847635884	NA	-0.0611023721972792	-0.00274114628393295	-0.0317863404520922	-0.091079346939792	0.0136203638161633	0.0161719137401038	0.0228818477957336	0.0429142673103743	0.0397111589888253	0.0513690111791837	-0.0611023721972792	0.0161719137401038	-0.0232685602246042
RecO (916)	0.0434320844517724	0.0249508330537242	-0.0379342991177057	0.202586972243599	0.36038948302325	1	0.466860026124311	0.125571617304389	0.132626406637872	0.156012852969606	-0.0775967847812671	-0.0836901489073417	0.103646749770169	0.101779094608982	0.0385229382038749	-0.172116242104713	0.106010647301682	0.0139385743451689	0.133504151404536	0.0320235151836212	0.00394608159303393	0.010229346129625	-0.1267302017643	-0.120624949639956	-0.154434319396622	0.0579715057803012	-0.0611026044600356	0.010229346129625	0.0251188076459932	0.0177352808729723	NA	0.0177352808729723	NA	0.010229346129625	-0.0231137143142955	-0.0611026044600356	-0.0639096065837133	-0.0943474982241303	0.010229346129625	0.0144736328024993	0.0271448946161798	0.0251188076459932	-0.0014404042201137	0.010229346129625	0.010229346129625	-0.0128719125409414
RecR (986)	-0.020287278141934	-0.0116546211498505	-0.0611840648044844	0.218115809355242	0.246324864322645	0.466860026124311	1	0.0708910566880872	0.0706055147523142	0.183218919877077	-0.0171434253820587	-0.0373724990858427	0.0498111278309224	0.048835795160044	0.019589560762056	-0.17630737376744	0.064386920981513	-0.00948452646857894	0.0954765876951389	0.0441425958779104	-0.0414922107979446	0.00520179422716607	-0.141422864993723	-0.156642928930221	-0.277026519420029	0.0257310354411582	-0.130709662111744	0.00520179422716607	0.0127733353579474	0.00901868804644485	NA	0.00901868804644485	NA	0.00520179422716607	0.0529236264880698	0.00736008524925358	0.0427531290671479	0.0138036345942526	0.00520179422716607	0.00736008524925358	0.0138036345942526	0.0127733353579474	0.0165231542847316	0.00520179422716607	0.00520179422716607	0.00474283045471978
RecB (266)	0.0360105259144667	0.0420276641926387	0.137782755278561	0.140226740690776	-0.0514617262405776	0.125571617304389	0.0708910566880872	1	0.992346834938226	0.385597634157979	-0.611790190885992	-0.550599099484992	-0.108006003273273	-0.10385558840921	-0.0706418055810673	-0.271280736264072	0.0548537667561727	-0.0732421801384903	0.0806693272879793	0.492191795562005	0.0451226561003827	-0.0187581610905714	-0.0680325673083745	-0.0386997386783385	-0.0848190319450752	-0.083238167751377	-0.0265411622829712	0.0526779937393115	0.041646149269524	-0.0325222405602518	NA	-0.0325222405602518	NA	-0.0187581610905714	-0.18311568630537	0.0239968027408066	-0.0913379285160753	0.0314649708146138	-0.0187581610905714	0.0239968027408066	-0.0497772095639854	-0.0460618532461264	-0.0368928336340017	-0.0187581610905714	-0.0187581610905714	-0.0146795329867752
RecC (265)	0.035778918019211	0.0419205405567133	0.14276575312439	0.13983354793593	-0.0526797777382257	0.132626406637872	0.0706055147523142	0.992346834938226	1	0.384578111477211	-0.610095250056764	-0.54911117776695	-0.113654899115149	-0.109567447361296	-0.0704617478213135	-0.270406734449296	0.0560066073621221	-0.0729524825350458	0.0872520923338623	0.486857301192927	0.0358034250428829	-0.0187103487160817	-0.0746171083967839	-0.0451173519501039	-0.0845504136495834	-0.0826816050718437	-0.0264735119421761	0.0528126069419968	0.041870128051975	-0.0324393451454293	NA	-0.0324393451454293	NA	-0.0187103487160817	-0.182619843043496	0.024125860883153	-0.0906139167553415	0.0316905631009815	-0.0187103487160817	0.024125860883153	-0.0496503332367573	-0.0459444469307387	-0.0367133890909689	-0.0187103487160817	-0.0187103487160817	-0.014026367798747
RecD (704)	-0.0102162634880093	0.0757135302855071	0.0883670937151403	0.151664646548076	0.122977093220572	0.156012852969606	0.183218919877077	0.385597634157979	0.384578111477211	1	-0.180023774230894	-0.119105997046045	-0.0864175414903088	-0.0990439669467198	0.0416980268625155	-0.139368701393923	-0.0187819991030833	-0.0321596288028037	0.0305791388477414	0.173131709408708	-0.0399586780137824	-0.0474478822888774	-0.0559682388537565	-0.10143623200487	-0.129973344079765	-0.0444970965695461	-0.0671346161135908	0.0208258460614533	-0.00474430408401074	-0.0428066073327452	NA	0.0361071201068742	NA	0.0208258460614533	0.145377854558597	-0.0188339299466395	-0.0753644590813473	-0.0482634516738702	0.0208258460614533	0.0294667562203119	-0.0223815689075227	-0.0326860484857717	0.0227785246750797	0.0208258460614533	0.0208258460614533	-0.0991415339973028
AddA (548)	-0.0145232825686387	-0.00834332506339977	0.43394218801441	-0.0129402360420279	0.0130757906846284	-0.0775967847812671	-0.0171434253820587	-0.611790190885992	-0.610095250056764	-0.180023774230894	1	0.852882352300964	-0.430565647958889	-0.425084996306439	0.0242049577801611	0.236683934017198	0.076494733343902	-0.074278817132266	-0.292271793634479	-0.27939425447327	-0.12023547150467	-0.034125069657169	0.093557913613223	0.0405033544807377	0.0417415697333706	0.00530772618032199	-0.00365654364055857	-0.034125069657169	-0.03216268066481	0.013747549527788	NA	0.0502037476211105	NA	-0.034125069657169	0.164881252229276	-0.00365654364055857	0.172621700832448	-0.0188145378641528	0.0289564915886561	-0.00365654364055857	-0.090555291401368	0.071104500043439	0.0919783746087471	0.0289564915886561	0.0289564915886561	0.00794306130890752
AddB (486)	-0.0131458920746161	-0.0169503465651402	0.386013153677152	0.00657760137146907	0.0277345199729432	-0.0836901489073417	-0.0373724990858427	-0.550599099484992	-0.54911117776695	-0.119105997046045	0.852882352300964	1	-0.362624585097479	-0.357614953460013	0.0047952548420985	0.192569436928675	0.0397550607140161	-0.0775402412410523	-0.275621112347037	-0.256169411986166	-0.090575503296707	-0.0301871818352438	0.0267982384418592	0.00798053133776643	0.0251047279990122	-0.0247714436920567	0.00180164756415073	-0.0301871818352438	-0.0483754463936969	-0.015974057908739	NA	0.0203893593082331	NA	-0.0301871818352438	0.183211721529635	0.00180164756415073	0.187476995286335	-0.00854742251416305	0.0327338370929496	0.00180164756415073	-0.0801055961244702	0.00312673668230411	0.103976862020692	0.0327338370929496	0.0327338370929496	-0.0347282389938351
AdnA (144)	-0.0203089205511201	0.0286698944413706	-0.86537845199003	0.0662143870144419	0.188574783814893	0.103646749770169	0.0498111278309224	-0.108006003273273	-0.113654899115149	-0.0864175414903088	-0.430565647958889	-0.362624585097479	1	0.971491323056258	-0.0481895234499309	-0.150240371073519	-0.117517407330918	-0.0513895539156916	0.418188722720866	-0.154119062075732	0.251773860296146	0.0772215271229968	-0.122304400016243	-0.134507224226853	-0.0673619704370874	0.0799528524633672	-0.0181055106350006	-0.0127962024231433	0.0422595271475638	0.0298375860066191	NA	-0.0221856061185189	NA	-0.0127962024231433	-0.130189970601187	-0.0181055106350006	-0.125366131341039	-0.0339563801891083	-0.0127962024231433	-0.0181055106350006	-0.0339563801891083	-0.0314218859341611	-0.040646288119598	-0.0127962024231433	-0.0127962024231433	-0.0288457216544628
AdnB (141)	-0.0215373999137337	0.0283208347525888	-0.854687261338938	0.0646531267398661	0.192851333174282	0.101779094608982	0.048835795160044	-0.10385558840921	-0.109567447361296	-0.0990439669467198	-0.425084996306439	-0.357614953460013	0.971491323056258	1	-0.0476028097425487	-0.153834210199365	-0.107142649813286	-0.067797271225052	0.407057928693416	-0.1522426424763	0.26863584706197	0.0781732971700397	-0.129671011293893	-0.141774436468182	-0.0665418296973108	0.0831651170311859	-0.0178850736912789	-0.0126404069965317	0.0432936147304561	0.0305677095852665	NA	-0.0219154934823182	NA	-0.0126404069965317	-0.128604890798629	-0.0178850736912789	-0.123294057087203	-0.0335429568496821	-0.0126404069965317	-0.0178850736912789	-0.0335429568496821	-0.0310393203914965	-0.0401514142821601	-0.0126404069965317	-0.0126404069965317	-0.0265448454597809
I-A (14)	0.0145131482854866	0.00833750312760639	0.0552152315826149	-0.00611754631011016	0.0193294702751067	0.0385229382038749	0.019589560762056	-0.0706418055810673	-0.0704617478213135	0.0416980268625155	0.0242049577801611	0.0047952548420985	-0.0481895234499309	-0.0476028097425487	1	0.0381148108758814	-0.0140990235053636	0.0831970944379477	0.00983459222696557	-0.0448194242468504	0.00895149168030005	-0.00372126859213313	0.0960975417437522	0.0391556559612631	0.137904288856696	0.05939397576319	-0.00526527057345578	-0.00372126859213313	-0.00913781084151217	-0.00645180472426449	NA	-0.00645180472426449	NA	-0.00372126859213313	-0.0378605958696552	-0.00526527057345578	-0.0440087290080395	-0.00987486809928258	-0.00372126859213313	0.185224696959069	-0.00987486809928258	-0.00913781084151217	-0.0118203628205108	-0.00372126859213313	-0.00372126859213313	0.0571264175887691
I-B (226)	-0.0324610321990705	0.00390777011952781	0.157100089343924	-0.197020922631984	-0.056556634850553	-0.172116242104713	-0.17630737376744	-0.271280736264072	-0.270406734449296	-0.139368701393923	0.236683934017198	0.192569436928675	-0.150240371073519	-0.153834210199365	0.0381148108758814	1	-0.119999933555982	0.0398207832055837	-0.254409031056839	-0.202885893970239	-0.0865435430414034	-0.0168452165038991	0.214396321429108	0.264742525340391	0.249914103748654	0.168382407444045	0.0295822157310893	-0.0168452165038991	-0.0413644965919307	-0.0292056444543863	NA	0.0144305175401466	NA	-0.0168452165038991	-0.14686807919797	-0.02383451249635	-0.133878542494587	-0.016077653707732	-0.0168452165038991	-0.02383451249635	0.0125456559687751	0.113142269807869	-0.0535077127426607	0.0586601123387992	-0.0168452165038991	0.0301097029000251
I-C (192)	0.0175802391083795	0.0340591473845353	0.133509186051225	0.0679910860160883	-0.0669829924297693	0.106010647301682	0.064386920981513	0.0548537667561727	0.0560066073621221	-0.0187819991030833	0.076494733343902	0.0397550607140161	-0.117517407330918	-0.107142649813286	-0.0140990235053636	-0.119999933555982	1	-0.0508072259402662	-0.110278121330987	-0.0842089716019791	-0.0825257151422616	-0.0152015817562023	-0.0119959966966284	0.0142321611690498	-0.0643869209815131	-0.0295382321301752	-0.0215089126488	-0.0152015817562023	0.0611447743751181	0.0663474896041259	NA	-0.0263559682841217	NA	-0.0152015817562023	-0.128619815479152	-0.0215089126488	-0.071816811567222	0.0204698269587081	0.0650025969887609	-0.0215089126488	-0.0403393657368089	-0.0373284473132676	-0.0482868160024341	-0.0152015817562023	0.0650025969887609	-0.0067176209500704
I-D (28)	0.0206700372512056	-0.0740460412374351	0.0629205886586415	-0.0342215952386671	0.071936369562462	0.0139385743451689	-0.00948452646857894	-0.0732421801384903	-0.0729524825350458	-0.0321596288028037	-0.074278817132266	-0.0775402412410523	-0.0513895539156916	-0.067797271225052	0.0831970944379477	0.0398207832055837	-0.0508072259402662	1	-0.0694567786739983	-0.0274647454656818	0.0127489682352856	-0.00529993623079378	0.0197997550004944	0.190178875216254	0.00948452646857893	0.173897787663065	-0.0074989476266733	-0.00529993623079378	-0.0130143292670281	-0.00918884320374598	NA	-0.00918884320374598	NA	-0.00529993623079378	-0.053922134025269	-0.0074989476266733	-0.0626784795469957	-0.014064067109893	-0.00529993623079378	-0.0074989476266733	0.34937725896974	-0.0130143292670281	-0.0168348958486875	-0.00529993623079378	-0.00529993623079378	0.169180730385681
I-E (253)	-0.0236714991916141	0.00809502540075204	-0.35596221978151	0.125449433731131	0.117434075819309	0.133504151404536	0.0954765876951389	0.0806693272879793	0.0872520923338623	0.0305791388477414	-0.292271793634479	-0.275621112347037	0.418188722720866	0.407057928693416	0.00983459222696557	-0.254409031056839	-0.110278121330987	-0.0694567786739983	1	-0.101365896403546	-0.0376040592087392	-0.0181369062527503	-0.0958645943244872	-0.0943387139955075	-0.0813179310804155	-0.0674797449978346	-0.0256621408591718	0.054482406134744	0.014904118506409	-0.0314451307525642	NA	-0.0314451307525642	NA	-0.0181369062527503	-0.129507111753061	-0.0256621408591718	-0.200527477716355	-0.0481286294017004	-0.0181369062527503	0.0257128565525694	-0.0481286294017004	-0.044536322623482	-0.0576106795414649	-0.0181369062527503	-0.0181369062527503	-0.0559558782821142
I-F (127)	0.0217337783074369	-0.0158729559199005	0.161024635954188	0.0949979370586674	0.0555377946908645	0.0320235151836212	0.0441425958779104	0.492191795562005	0.486857301192927	0.173131709408708	-0.27939425447327	-0.256169411986166	-0.154119062075732	-0.1522426424763	-0.0448194242468504	-0.202885893970239	-0.0842089716019791	-0.0274647454656818	-0.101365896403546	1	-0.0644037695857685	-0.0119013093322519	-0.0728324241573146	-0.0574329724601108	-0.0626510601263883	-0.0887563903011689	-0.0168393149436118	-0.0119013093322519	-0.0292244192408864	-0.0206340719229678	NA	-0.0206340719229678	NA	-0.0119013093322519	-0.121085229886579	-0.0168393149436118	-0.113366150643853	0.00440509169900115	-0.0119013093322519	-0.0168393149436118	-0.0315816654871937	-0.0292244192408864	-0.037803719582012	-0.0119013093322519	-0.0119013093322519	-0.0696271361174682
I-G (55)	-0.00669395594501959	0.0168753708787035	-0.229408545914808	0.0416658254181137	0.0161749573063024	0.00394608159303393	-0.0414922107979446	0.0451226561003827	0.0358034250428829	-0.0399586780137824	-0.12023547150467	-0.090575503296707	0.251773860296146	0.26863584706197	0.00895149168030005	-0.0865435430414034	-0.0825257151422616	0.0127489682352856	-0.0376040592087392	-0.0644037695857685	1	-0.00753196570608617	-0.0404247611142874	0.0544446237216678	-0.0396498925578813	0.0590637562805299	-0.010657074707365	-0.00753196570608617	-0.0184952190853602	0.0671135850952139	NA	-0.0130586574772527	NA	-0.00753196570608617	-0.0766310473544096	-0.010657074707365	-0.0757368466503164	-0.019987046361866	-0.00753196570608617	-0.010657074707365	-0.019987046361866	-0.0184952190853602	-0.0239247894080521	-0.00753196570608617	-0.00753196570608617	0.0396085301669198
I (1)	0.00385380825463317	0.00221393303121771	-0.0673956892957197	0.00788749176131375	0.0161719137401038	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	-0.0474478822888774	-0.034125069657169	-0.0301871818352438	0.0772215271229968	0.0781732971700397	-0.00372126859213313	-0.0168452165038991	-0.0152015817562023	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	1	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	-0.000988142292490119	-0.00939090215624984
